protein,log2FC,p_value,mean_tumor,mean_normal,q_value,significant
MAP7,2.11254000090009,1.1917547472174829e-31,0.5395455454545455,-1.5729944554455446,6.849181707969952e-31,True
MAP7D1,0.05047123402340231,0.5671924545156122,0.17017281818181815,0.11970158415841584,0.594925741215914,False
MAP7D2,2.8511530792079207,1.469020346769932e-09,-0.44363900000000006,-3.294792079207921,2.822719047960099e-09,True
MAP7D3,-0.711156902790279,2.329464341511674e-10,-0.18447809090909087,0.5266788118811881,4.66773018557314e-10,True
MAP9,-0.5026899810981098,0.001611273176749947,-0.09997354545454545,0.4027164356435643,0.00216119344460517,True
MAPK1,-0.7055875778577858,6.043875245562486e-22,-0.12256718181818181,0.583020396039604,2.120354027715527e-21,True
MAPK11,-2.6265309351935198,3.2784304895988783e-22,-1.0728117272727276,1.553719207920792,1.1677573676757795e-21,True
MAPK12,-1.826807385238524,4.846127480420898e-30,-0.7540404545454547,1.0727669306930694,2.540424652833492e-29,True
MAPK13,1.2483394338433844,2.854461446303464e-22,0.560251909090909,-0.6880875247524755,1.0190235215562028e-21,True
MAPK14,-0.35138501800180016,0.004291920930655767,0.006144090909090909,0.35752910891089107,0.005575759009804023,False
MAPK15,-0.8007563987398741,0.0007071399443937966,0.023527363636363634,0.8242837623762378,0.0009746401832490879,True
MAPK1IP1L,0.7432329531953197,3.160852727189116e-07,0.3827246363636364,-0.3605083168316833,5.341387879934023e-07,True
MAPK3,-1.5483833294329434,1.6206281125068085e-46,-0.45749263636363646,1.090890693069307,2.104832103672108e-45,True
MAPK7,-0.5446317902790279,1.8212374695090813e-06,-0.22205990909090909,0.3225718811881188,2.9647907373693192e-06,True
MAPK8,-0.12665753285328532,0.21386277185719996,0.08384009090909089,0.2104976237623762,0.2378024484739465,False
MAPK8IP1,-2.824942816381638,9.533490191730837e-13,-1.4985117272727269,1.3264310891089108,2.145878268574925e-12,True
MAPK8IP3,0.9129197848784876,6.194903299402365e-05,0.14937463636363632,-0.7635451485148512,9.188400698585298e-05,True
MAPK9,-0.5035467227722772,3.001966944442005e-09,-0.017658999999999994,0.48588772277227715,5.673485735823279e-09,True
MAPKAP1,-0.47595082718271825,1.665496931308314e-09,-0.0533462727272727,0.42260455445544554,3.1867776520884277e-09,False
MAPKAPK2,0.894721198019802,1.717889869455492e-27,0.5259010000000001,-0.3688201980198019,7.92603996801456e-27,True
MAPKAPK3,0.395394303330333,0.0002590790239668525,0.2230028181818182,-0.1723914851485148,0.0003696813696244505,False
MAPKAPK5,-0.023444067506750665,0.8689726621375061,-0.04119990909090909,-0.017755841584158428,0.8805958633508103,False
MAPKBP1,-0.7362959918991898,9.533094549531953e-08,-0.1583860909090909,0.5779099009900989,1.6579143845842962e-07,True
MAPRE1,0.1622473096309631,0.029748811785274058,0.30957463636363636,0.14732732673267326,0.03613924119397126,False
MAPRE2,-0.7479515562556257,2.533430969256844e-10,-0.20723809090909093,0.5407134653465347,5.068985963639873e-10,True
MAPRE3,-0.8794251296129613,9.967941678457525e-12,-0.20202354545454546,0.6774015841584158,2.1455235910384563e-11,True
MAPT,-1.2732421791179118,9.49592360322427e-08,-0.8186455454545455,0.45459663366336633,1.6517508512459708e-07,True
MARC1,-0.4606479468946896,0.05920939530563991,-0.7194008181818183,-0.25875287128712876,0.06990882963359785,False
MARC2,-2.012885408640864,3.0474093424824523e-20,-0.8406026363636365,1.1722827722772278,9.722783951650231e-20,True
MARCH5,-0.16486776687668764,0.23047114701603527,-0.05741172727272727,0.10745603960396038,0.25531827427353754,False
MARCH6,1.441201264626463,6.489243738588261e-18,0.41489136363636375,-1.026309900990099,1.8647297028465843e-17,True
MARCKS,-0.36140159225922597,0.006353008346291546,0.0540900909090909,0.41549168316831686,0.008149128953735433,False
MARCKSL1,2.1342634482448246,5.390045257336904e-23,0.7289046363636363,-1.4053588118811882,2.004416518369228e-22,True
MARCO,-2.5863659396939696,8.629425433156435e-21,-1.2421544545454546,1.3442114851485147,2.8386111366268546e-20,True
